bandwith.googActualEncBitrate,bandwith.googAvailableSendBandwidth,bandwith.googAvailableReceiveBandwidth,bandwith.googRetransmitBitrate,bandwith.googTargetEncBitrate,bandwith.googTransmitBitrate,result.video.send.availableBandwidth,result.video.recv.availableBandwidth,result.results.packetsLost,result.results.packetsReceived,result.results.googTargetDelayMs,result.results.googCurrentDelayMs,result.results.googJitterBufferMs
1633176,3258681,0,0,1700000,1727920,425.6,0,1,38217,147,147,132
1659728,3258681,0,0,1700000,1710936,426.6,0,1,38448,146,146,131
1680792,3258681,0,0,1700000,1797920,431.0,0,1,38680,145,145,130
1676352,3258681,0,0,1700000,1752472,426.0,0,1,38915,140,140,125
1649784,3258681,0,0,1700000,1722216,423.6,0,1,39157,137,137,122
1735528,3258681,0,0,1700000,1779992,436.7,0,1,39411,142,142,128
1698688,3258681,0,0,1700000,1797192,424.6,0,1,39646,139,139,125
1692352,3258681,0,0,1700000,1709656,415.6,0,1,39856,142,142,128
1722672,3258681,0,0,1700000,1780872,433.4,0,1,40092,139,139,125
1741048,3258681,0,0,1700000,1816608,429.1,0,1,40380,131,131,117
1702824,3258681,0,0,1700000,1781448,429.5,0,1,40716,131,131,117
1732016,3258681,0,0,1700000,1813184,438.7,0,1,41069,144,144,130
1675824,3258681,0,0,1700000,1730216,425.7,0,1,41375,139,139,125
1653096,3258681,0,0,1700000,1769568,417.5,0,1,41677,144,144,130
1673360,3258681,0,0,1700000,1803904,434.5,0,1,41976,143,143,129
1710520,3258681,0,0,1700000,1776840,432.6,0,1,42291,143,143,129
1695584,3258681,0,0,1700000,1802752,433.2,0,1,42592,141,141,127
1668016,3258681,0,0,1700000,1770464,432.0,0,1,42834,147,147,133
1451992,3258681,0,0,1700000,1455928,391.8,0,1,43103,145,145,131
1779176,3258681,0,0,1700000,1853768,431.1,0,1,43375,144,144,130
1739152,3258681,0,0,1700000,1841032,461.6,0,1,43622,143,143,129
1674296,3258681,0,0,1700000,1740160,427.3,0,1,43832,145,145,131
1737120,3258681,0,0,1700000,1770936,425.7,0,1,44055,153,152,139
1760688,3258681,0,0,1700000,1766760,421.0,0,1,44292,150,150,136
1761224,3258681,0,0,1700000,1794800,434.1,0,1,44529,152,152,138
1683728,3260681,0,0,1700000,1740552,417.3,0,1,44766,163,163,149
1139976,3000764,0,0,1700000,1164048,338.8,0,1,44935,198,198,184
1780496,3011459,0,0,1700000,1890184,445.8,0,1,45167,195,195,181
1732792,3017459,0,0,1700000,1801592,447.7,0,1,45374,217,209,186
1592688,3017459,0,0,1700000,1670496,418.1,0,1,45608,249,228,179
1685040,3017459,0,0,1700000,1786264,428.1,0,1,45852,264,261,169
1709696,3020961,0,0,1700000,1769088,428.6,0,1,46055,279,279,175
1671648,3024443,0,0,1700000,1741808,424.9,0,1,46267,300,281,171
1682728,3024443,0,0,1700000,1754664,426.9,0,1,46452,300,300,171
1651352,3024443,0,0,1700000,1742688,424.5,0,1,46631,300,300,168
1724616,3028050,0,0,1700000,1769440,427.7,0,1,46821,300,300,164
1720640,3028050,0,0,1700000,1760744,422.8,0,1,47019,300,300,156
1703136,3028050,0,0,1700000,1751144,432.3,0,1,47212,279,279,155
1726152,3028050,0,0,1700000,1732288,425.7,0,1,47439,256,256,151
1728040,3028050,0,0,1700000,1746040,426.8,0,1,47689,236,236,151
1723824,3028050,0,0,1700000,1721544,418.7,0,1,47980,215,215,143
1675840,3028050,0,0,1700000,1784248,430.7,0,1,48296,215,215,138
1750464,3029661,0,0,1700000,1792784,437.4,0,1,48590,200,200,142
1683504,3029661,0,0,1700000,1770600,426.4,0,1,48863,200,200,141
1725872,3029661,0,0,1700000,1742464,424.4,0,1,49087,157,157,143
1704296,3032343,0,0,1700000,1761808,424.5,0,1,49236,165,165,151
1744312,3032343,0,0,1700000,1728712,430.4,0,1,49361,168,168,153
1726056,3032343,0,0,1700000,1728656,431.3,0,1,49515,163,163,148
1746552,3032343,0,0,1700000,1750264,427.0,0,1,49672,157,157,142
1691368,3032343,0,0,1700000,1736368,418.0,0,1,49837,150,150,136
1685144,3035050,0,0,1700000,1815040,426.8,0,1,50014,147,147,132
1730256,3037798,0,0,1700000,1786144,433.4,0,1,50197,141,141,127
1802600,3037798,0,0,1700000,1808472,438.9,0,1,50394,137,137,123
1725840,3040003,0,0,1700000,1784472,436.8,0,1,50629,142,142,128
1704096,3040003,0,0,1700000,1759936,428.0,0,1,50898,140,140,126
1675424,3040003,0,0,1700000,1731304,426.6,0,1,51216,138,138,124
1736768,3040003,0,0,1700000,1731560,431.9,0,1,51575,127,127,113
1706288,3040003,0,0,1700000,1750352,426.9,0,1,51907,142,133,113
1716320,3040003,0,0,1700000,1754872,429.3,0,1,52213,142,142,118
1758080,3040003,0,0,1700000,1778448,427.0,0,1,52546,142,142,117
1736144,3040003,0,0,1700000,1812008,430.4,0,1,52881,142,142,113
1693296,3040003,0,0,1700000,1738528,426.5,0,1,53208,142,142,116
1663208,3046803,0,0,1700000,1741824,427.2,0,1,53512,142,142,124
1649872,3046803,0,0,1700000,1785048,424.0,0,1,53801,144,144,130
1691344,3047607,0,0,1700000,1759816,433.2,0,1,54096,144,144,130
1685520,3051305,0,0,1700000,1771984,426.9,0,1,54402,142,142,127
1669544,3051305,0,0,1700000,1790216,425.4,0,1,54710,142,142,126
1678960,3051305,0,0,1700000,1805408,429.7,0,1,55018,142,142,124
1598120,3051305,0,0,1700000,1684440,416.3,0,1,55280,142,142,126
1537952,3051305,0,0,1700000,1581744,371.2,0,1,55550,142,142,125
1693272,3051305,0,0,1700000,1750816,414.4,0,1,55779,142,142,128
1859656,3053822,0,0,1700000,1886072,451.1,0,1,56061,142,142,128
1862048,3069239,0,0,1700000,1955824,472.2,0,1,56389,142,142,128
1648488,3070779,0,0,1700000,1672728,421.7,0,1,56756,156,156,142
1614000,3070779,0,0,1700000,1674080,404.6,0,1,57161,165,165,151
1681464,3070779,0,0,1700000,1694656,420.5,0,1,57565,162,162,148
1714616,3070779,0,0,1700000,1746288,429.7,0,1,57934,155,155,140
1696536,3070779,0,0,1700000,1723040,423.6,0,1,58228,156,156,141
1725480,3070779,0,0,1700000,1749528,431.4,0,1,58488,156,156,142
1627000,3070779,0,0,1700000,1698168,415.6,0,1,58708,157,157,143
1574672,1447073,0,0,1323529,1600480,406.6,0,1,58862,176,176,161
342952,1650082,0,0,1523186,441928,143.0,0,1,59051,203,203,188
1309448,1242984,0,0,1130272,1249384,300.4,0,1,59274,206,206,191
974856,1450445,0,0,1329469,1188576,310.4,0,1,59523,220,210,184
1125688,1681611,0,0,1549619,1176944,268.8,0,1,59827,264,234,175
1521720,1963511,0,0,1700000,1566992,364.4,0,1,60181,282,266,169
1691848,2292319,0,0,1700000,1755176,411.4,0,1,60573,297,288,162
1719536,2639971,0,0,1700000,1804472,426.0,0,1,60972,297,297,155
1719792,2858059,0,0,1700000,1808896,436.1,0,1,61367,316,303,153
1768760,2926464,0,0,1700000,1797680,429.3,0,1,61695,316,316,154
1679592,2926464,0,0,1700000,1788000,427.3,0,1,62052,316,316,152
1746440,2952478,0,0,1700000,1729208,429.7,0,1,62443,316,316,153
1688256,2996968,0,0,1700000,1749528,434.7,0,1,62856,316,316,153
1700208,3025007,0,0,1700000,1806792,432.1,0,1,63174,291,291,160
1777136,3055659,0,0,1700000,1752936,426.6,0,1,63515,275,275,162
1808624,3108553,0,0,1700000,1807648,448.4,0,1,63880,275,275,168
1702064,3108553,0,0,1700000,1717728,416.3,0,1,64273,251,251,162
1705896,3108553,0,0,1700000,1777568,425.2,0,1,64664,228,228,163
1735408,3108553,0,0,1700000,1771384,430.7,0,1,65084,210,210,161
1695872,3108553,0,0,1700000,1743248,431.0,0,1,65469,210,210,160
1682136,3108553,0,0,1700000,1788704,435.2,0,1,65899,194,194,162
