bandwith.googActualEncBitrate,bandwith.googAvailableSendBandwidth,bandwith.googAvailableReceiveBandwidth,bandwith.googRetransmitBitrate,bandwith.googTargetEncBitrate,bandwith.googTransmitBitrate,result.video.send.availableBandwidth,result.video.recv.availableBandwidth,result.results.packetsLost,result.results.packetsReceived,result.results.googTargetDelayMs,result.results.googCurrentDelayMs,result.results.googJitterBufferMs
1731016,2970991,0,0,1700000,1759800,443.6,0,4,41563,132,132,98
1694304,3029174,0,0,1700000,1756848,438.5,0,4,41711,132,132,94
1648056,3029174,0,0,1700000,1750032,433.3,0,4,41864,132,132,90
1708400,3029174,0,0,1700000,1752544,437.4,0,4,42013,132,132,87
1659024,3029174,0,0,1700000,1758888,434.9,0,4,42146,132,132,90
1701656,3029174,0,0,1700000,1744328,438.1,0,4,42279,132,132,89
1663952,3029174,0,0,1700000,1745648,435.2,0,4,42447,132,132,85
1705648,3029174,0,0,1700000,1735304,432.5,0,4,42644,132,132,81
1680184,3029174,0,0,1700000,1762432,436.6,0,4,42872,132,132,75
1686032,3029174,0,0,1700000,1713928,434.2,0,4,43130,132,132,71
1725000,3029174,0,0,1700000,1712592,435.5,0,4,43398,132,132,68
1625792,3029174,0,0,1700000,1754032,431.4,0,4,43646,132,132,71
1710720,3042982,0,0,1700000,1795160,450.4,0,4,43920,132,132,67
1722992,3042982,0,0,1700000,1766848,440.5,0,4,44257,132,132,59
1650592,3042982,0,0,1700000,1766880,436.7,0,4,44643,132,132,55
1650112,3042982,0,0,1700000,1732800,430.2,0,4,45060,132,132,51
1681088,3042982,0,0,1700000,1749016,442.0,0,4,45473,132,132,50
1693464,3042982,0,0,1700000,1756368,435.8,0,4,45855,132,132,56
1691168,3042982,0,0,1700000,1751200,430.9,0,4,46216,132,132,54
1671144,3042982,0,0,1700000,1754656,435.6,0,4,46563,132,132,60
1676968,3042982,0,0,1700000,1719912,436.7,0,4,46802,105,105,66
1717184,3042982,0,0,1700000,1780680,443.5,0,4,46983,105,105,73
1656896,3042982,0,0,1700000,1732112,434.4,0,4,47206,105,105,71
1644992,3042982,0,0,1700000,1721904,432.8,0,4,47436,105,105,72
1640640,3042982,0,0,1700000,1756456,430.2,0,4,47602,105,105,78
1712104,3042982,0,0,1700000,1724632,436.3,0,4,47746,105,105,80
1693896,3042982,0,0,1700000,1772696,440.0,0,4,47942,121,121,74
1688752,3042982,0,0,1700000,1742072,433.9,0,4,48160,121,121,70
1689424,3042982,0,0,1700000,1730720,439.4,0,4,48422,121,121,66
1730592,3042982,0,0,1700000,1676664,433.3,0,4,48728,121,121,61
1728112,3042982,0,0,1700000,1742192,439.3,0,4,49077,121,121,58
1755696,3042982,0,0,1700000,1726688,444.2,0,4,49468,121,121,55
1707064,3042982,0,0,1700000,1756440,441.2,0,4,49786,121,121,60
1779824,3042982,0,0,1700000,1850088,431.2,0,4,50124,121,121,62
1706488,3042982,0,0,1700000,1738848,441.7,0,4,50498,121,121,60
1721016,3042982,0,0,1700000,1773288,440.4,0,4,50923,136,136,60
1732880,3042982,0,0,1700000,1748688,436.7,0,4,51316,136,136,64
1696984,3042982,0,0,1700000,1743680,436.5,0,5,51661,136,136,68
1723096,3042982,0,0,1700000,1748680,427.0,0,5,52020,136,136,74
1708936,3042982,0,0,1700000,1759088,441.4,0,5,52360,136,136,82
1686960,3042982,0,0,1700000,1763272,434.3,0,5,52629,136,136,85
1696480,3042982,0,0,1700000,1753016,432.7,0,5,52828,136,136,90
1652656,3069400,0,0,1700000,1728552,432.0,0,5,52987,136,136,89
1702520,3069400,0,0,1700000,1760144,439.5,0,5,53150,136,136,83
1378152,2742117,0,0,1700000,1445152,393.0,0,5,53343,136,136,78
1686216,2822671,0,0,1700000,1732000,440.1,0,5,53540,136,136,79
1706984,2911141,0,0,1700000,1744864,441.3,0,5,53705,136,136,83
1669680,2944489,0,0,1700000,1732832,432.6,0,5,53873,136,136,79
1708872,2944489,0,0,1700000,1750080,433.5,0,5,54038,136,136,80
1702136,2944489,0,0,1700000,1770952,436.3,0,5,54177,136,136,79
1652096,2944489,0,0,1700000,1731784,432.5,0,5,54355,136,136,74
1699344,2944489,0,0,1700000,1723440,431.8,0,5,54496,111,111,78
1737728,2944489,0,0,1700000,1756576,433.0,0,5,54641,111,111,76
1702888,2979136,0,0,1700000,1705000,438.6,0,5,54824,126,126,75
1732632,2979136,0,0,1700000,1748064,438.1,0,5,55029,126,126,73
1713128,2979136,0,0,1700000,1744704,435.2,0,5,55253,126,126,68
1662496,3014887,0,0,1700000,1749264,434.9,0,5,55450,126,126,67
1633368,3014887,0,0,1700000,1759216,431.6,0,5,55618,126,126,70
1727184,3014887,0,0,1700000,1767904,439.5,0,5,55774,126,126,70
1592512,3034494,0,192984,1375487,3299419,574.3,0,5,55946,126,126,66
1354864,3541514,0,0,1605616,2770152,755.1,0,5,56118,126,126,67
1460728,4132902,0,0,1605096,3039080,759.8,0,5,56302,126,126,65
1551656,4818781,0,0,1604416,3174592,782.2,0,5,56499,126,126,64
